"","vtitle","vpoint","vreview"
"1","모가디슈","8","개봉시기가 정말 소름돋네요 영화 자체도 볼만했어요"
"2","기담","8","이렇게 슬프고 쓸쓸한 호러 영화가 있었다니..."
"3","판도라","1","영화한편으로 나라를 말아드시네.."
"4","인질","10","재미있게. 보았습니다"
"5","인질","2","이영화보구 조연배우들의 역할이 얼마나 중요한지 느낌ㅠㅠ조연배우들때문에 영화몰입감 완전 떨어짐.물론 이런배우들을 섭외하고 연출하는 감독의 역량이 크지만 스토리도별로 연출도별로 ㅠㅠ옛날 한국영화 안보던 그시절의 영화같다"
"6","블라인드 사이드","10","인생영화가 되었어요 마음이 따듯해지고 기분 좋아지는 잔잔한 영화에요.."
"7","싱크홀","1","누가 킬링타임이랬냐,,,  킬링 당하고싶나,,"
"8","더 수어사이드 스쿼드","10","상어 친구 갖고 싶다. 쥐새끼들도 덤으로"
"9","사라진 시간","8","초반이랑 다르게 중반에 조진웅님 나오고 뭔가 다른 전개가 되서 흥미진진하게 봤는데 결국 뭐가 진짜 현실인지 모른채로 끝이나버렸네요 그래도 재미있었어요 다른 사람의 삶을 살아가는 사람의 관점도 볼 수 있었고 무엇보다 조진웅님 연기 몰입도 있고 좋았습니다"
"10","스파이더맨 2","10","피터 파커와 스파이더맨의 싸움."
"11","킬링 필드","10","경상도 애들이 꼭 봐야 할 영화"
"12","올드","10",""
"13","더 수어사이드 스쿼드","10","지루할,쉴,딴생각할 틈이 없다. 최고다"
"14","싱크홀","2",""
"15","이프 온리","10","인생영화에요 4번째봐도 재밌네요"
"16","데이브 미로 만들다: 판타스틱 미로 대탈출","10","저예산 b급영화도 상상력과 즐거움만 있으면 이런 멋지고 기발한 영화가 된다. 보는내내 영화보는 즐거움을 다시 일깨워준 작품"
"17","언어의 정원","7","비오는날에 보기 딱 좋은 영화네"
"18","날씨의 아이","5","색채는 아름답지만 스토리는 아쉽다."
"19","모가디슈","6","분단의 아픔을 떠올리게하는 영화"
"20","인질","1","황정민연기로도 도저히 끝까지 볼수없엇던 내용의 영화"
"21","배드 지니어스","8","머리가 암만 좋아도, 결국 물고 태어난 수저대로 인생이 흐르는건가"
"22","콜 미 바이 유어 네임","10","이 영화 만들어줘서 그래서 볼수 있게해줘서 고맙다고. ㅠ 감독한테 말하고 싶다. ㅠ"
"23","인질","1","개빡침 그냥 내가 기절하고 싶었음 당분간 집에만 있을거임 사람 스치기만 해도 소름 돋을"
"24","모가디슈","10","오랜만에 신파없이 재밌는 한국영화"
"25","진주 귀걸이를 한 소녀","8","대학 새내기 때의 첫 영화. 귀 뚫어주는 씬에서의 상징적 관능이 아직도 기억난다."
"26","배심원들","10","기대없이 봤다가 여러가지를  생각하게 해주는  뻔한 스토리만 그래도 재미있게 빠져들게 하는 요소들이 있는 영화 ....그중  법원귀신 짱 ㅋㅋㅋ"
"27","싱크홀","4","생소한 소재로 생소한 재미를 주려고 했으나,비현실적인 타협과 설정이 몰입을 떨어뜨리고 있다."
"28","하얀 궁전","10","시간이 지나 더 아름다워보이는 사랑. 행복했으면 좋겠다."
"29","연애의 목적","10","자존심은 남얘기고 처음으로 용기내어 내가 구질구질하게 붙잡아서 사귄 진심으로 사랑했던 남자친구랑 본 영화..  당시 나는 이 영화가 이해안되고  불쾌했지만, 그 연애가 끝나고나서야 비로소 머리보다 가슴을 따랐던 나와 그런 나에 맞추어 순수하게 사랑을 표현해준 남자친구. 그게 얼마나 값진것인지 사랑이 끝나고 그제서야 이 영화와 그때의 연애가 제대로 보이고 소중하고 따뜻하게 이해가되었다."
"30","건축학개론","6","그래도 다 괜찮았는데 결말이.. ㅎㅎ왜 도대체 그런 결말이죠..조정석 외 배우들 연기 영상미 ost.. 스토리전개는 음.."
"31","퍼펙트맨","2","엔딩에 죽어서 차타고 가는게 너무 재수없음. 장애 가진 사람들이 죽어서야 편해진다고 생각한거 같아서 재수없음. 진짜. 스토리도 별로고 웃음포인트도 그다지.. 많은 장르를 이렇게 어울리지 못하게 넣고. 배우들만 퍼펙트맨임 ㅋㅋ"
"32","싱글라이더","10","삶에 대해 다시 생각해보게 합니다"
"33","세크러테리","10","S도 아니고 M도 아니지만 두근두근한 영화"
"34","올드","8","정녕 식스센스를 뛰어넘는 후속작은 없단 말인가?"
"35","싱크홀","10",""
"36","모가디슈","8","스릴 있고, 스토리도 짜임새 있게 잘 만들어진 영화."
"37","캐시트럭","10","역시 빡형. 2시간이 사라졌다."
"38","인터스텔라","10","한번봤을땐 그저그랬는데 두번 세번볼수록 감동적이고 잼나네요"
"39","담보","2","엄청 기대했던 영화였으나이런 스토리 대본으로도 영화제작이 가능하구나신기한기초습작수준"
"40","아저씨","10","스무살 되자마자 극장가서 관람한 첫 청불영화이자 10여년이 지난 지금 봐도 촌스러움이 없는 감성액션"
"41","모가디슈","8","재미있어요. 류승완 굳굳"
"42","해피 엔드","6","최민식은 원조 꽃미남이었구나..전도연과 주진모의 베드신은 부부가 하는 것만큼 너무 적나라해서 솔로때 찍은 게 맞는 건지 헉할 정도로 실감남..베드신 엄청 자주 나옴"
"43","엑소더스: 신들과 왕들","4","어... 님덜 그냥 이집트 왕자를 보세요오래된 2D 애니메이션이지만 연출, 음악, 전개 모든게 엑소더스 보다는 나은거 같아요"
"44","사랑이 뭘까","8","사랑과 집착 사이 아슬아슬한 줄타기. 짝사랑이 성공하긴 어렵지만 조금이라도 가능성을 높이고 싶다면 마모루 입장에 서서 야마다 처럼 예측되는 행동을 하지 말길. 개연성 없는 유치한 사랑 영화가 아니어서 다행이다."
